CHROM,BIN_START,BIN_END,GIH_VS_GWD_WEIGHTED_FST,GIH_VS_GWD_MEAN_FST,GIH_VS_TSI_WEIGHTED_FST,GIH_VS_TSI_MEAN_FST,GIH_VS_PUR_WEIGHTED_FST,GIH_VS_PUR_MEAN_FST,GIH_VS_JPT_WEIGHTED_FST,GIH_VS_JPT_MEAN_FST,GWD_VS_TSI_WEIGHTED_FST,GWD_VS_TSI_MEAN_FST,GWD_VS_PUR_WEIGHTED_FST,GWD_VS_PUR_MEAN_FST,GWD_VS_JPT_WEIGHTED_FST,GWD_VS_JPT_MEAN_FST,TSI_VS_JPT_WEIGHTED_FST,TSI_VS_JPT_MEAN_FST,TSI_VS_PUR_WEIGHTED_FST,TSI_VS_PUR_MEAN_FST,PUR_VS_JPT_WEIGHTED_FST,PUR_VS_JPT_MEAN_FST
22,16050001,16060000,0.109448,0.0360801,0.0501809,0.0166767,0.0488737,0.0147975,0.0623578,0.0181846,0.0532224,0.0250638,0.0393131,0.022868,0.0915561,0.0295443,0.0366805,0.0117481,0.00143197,0.00201357,0.0387491,0.0110449
22,16060001,16070000,0.0555243,0.0370024,0.0267841,0.0166094,0.0406617,0.0189041,0.0428055,0.021269,0.0517529,0.0263224,0.05713,0.023769,0.0861321,0.0422592,0.0648486,0.0299354,-0.000992574,9.57702e-05,0.0757536,0.0278039
22,16070001,16080000,0.0847686,0.0375363,0.00995482,0.0112508,0.0157344,0.00996771,0.035301,0.0222745,0.0573991,0.029968,0.0441623,0.0226655,0.163119,0.0602203,0.0633827,0.0349633,-0.00417708,-0.00127077,0.0789713,0.0303066
22,16080001,16090000,0.143017,0.0251226,0.014308,0.00695857,0.0143058,0.0071616,0.00103638,0.00331947,0.142274,0.0293055,0.113938,0.0234095,0.143715,0.0271041,0.00711427,0.00541618,-0.000868908,-0.00106004,0.00829981,0.00528591
22,16090001,16100000,0.0777797,0.0229348,0.00353794,0.00118233,0.0129758,0.00237482,0.0118587,0.00575411,0.0437498,0.0185844,0.0265122,0.0114799,0.154033,0.0517485,0.0458299,0.0173597,-0.0036494,-0.00203177,0.0647096,0.0208644
22,16100001,16110000,0.023313,0.0126483,0.00134481,0.000615889,0.00218733,-0.000225936,0.0235544,0.00858184,0.0299702,0.0186628,0.0244214,0.0138741,0.0193166,0.0115297,0.0341192,0.0167899,-0.00214402,-0.00110109,0.0366805,0.0124532
22,16110001,16120000,0.090896,0.0171092,0.0260984,0.0109312,0.0514934,0.0106535,0.012146,0.00800057,0.024155,0.00943269,0.0187535,0.00554676,0.142025,0.0279048,0.0647926,0.0374775,0.00426001,0.00281227,0.0811316,0.0227955
22,16120001,16130000,0.0202427,0.00690823,0.00163537,0.00226219,-0.00156517,0.000748349,0.0366871,0.0132961,0.037799,0.0124196,0.0326797,0.0102973,0.0872183,0.0200512,0.0255316,0.00817463,-0.000108119,0.000739952,0.0371439,0.0108474
22,16130001,16140000,0.104568,0.0205051,0.018565,0.00516585,0.0493867,0.00887839,0.00276705,0.00563391,0.0502535,0.0143197,0.0298518,0.00890158,0.111542,0.0240764,0.0280197,0.00734811,0.00509584,0.0018851,0.0635238,0.0129249
22,16140001,16150000,0.0542678,0.0181327,0.0241563,0.0092429,0.0391128,0.012077,0.00982391,0.00911253,0.0503444,0.0159603,0.058702,0.0179091,0.0754821,0.0239663,0.0594746,0.0188463,0.00333617,0.00278051,0.0800901,0.0221351
