CHROM,BIN_START,TSI_TajimaD,PUR_TajimaD,GIH_TajimaD,GWD_TajimaD,JPT_TajimaD
22,16050000,-0.926177,-1.24568,-0.670186,-1.4447,-1.01537
22,16060000,0.710534,-0.0673053,1.3442399999999999,-0.15532200000000002,0.5698770000000001
22,16070000,0.298694,-0.466467,0.8065939999999999,-0.838888,0.9512
22,16080000,-1.23738,-1.3748799999999999,-1.6306100000000001,-1.21058,-1.30033
22,16090000,-1.09428,-1.3908200000000002,-1.1698,-1.76332,0.367964
22,16100000,-0.298973,-0.47935200000000006,-0.45628,0.15016,1.08464
22,16110000,0.373988,-1.45964,-0.673421,-1.9151099999999999,-0.350236
22,16120000,-0.298599,-0.311637,0.0572908,-0.9059020000000001,-0.769408
22,16130000,-1.49029,-1.61352,-1.6663400000000002,-1.65462,-1.33253
22,16140000,-1.25276,-1.4271200000000002,-0.8629,-1.48784,-1.0115
22,16150000,-0.584458,-1.34045,0.160907,-0.8224870000000001,0.69675
22,16160000,0.7699600000000001,0.19211099999999998,-0.279978,-0.237529,-0.200427
22,16170000,-0.214738,-0.367357,-0.260997,-1.60889,1.5621200000000002
22,16180000,-1.64746,-1.4706,-1.01844,-1.6234,-1.2954299999999999
22,16190000,-1.6761599999999999,-1.51196,-1.3769200000000001,-2.17775,-0.77248
22,16200000,-1.11896,-1.1050799999999998,-0.624945,-1.57079,0.060479899999999996
22,16210000,-0.0711586,-0.034112199999999995,0.476599,-1.13408,1.0687799999999998
22,16220000,-1.03298,-1.17971,-0.782027,-1.6460599999999999,-0.602056
22,16230000,-1.11618,-1.4630100000000001,-0.655683,-1.50691,-1.26301
22,16240000,-0.532705,-1.0179200000000002,-0.445927,-0.8345670000000001,0.9643360000000001
22,16250000,0.5380119999999999,0.262975,1.16971,-0.0150786,-0.16978800000000002
22,16260000,0.753074,0.324008,1.0041200000000001,-0.767153,-0.289179
22,16270000,1.64832,0.9070530000000001,1.34294,-0.241096,1.8849
22,16280000,-1.2193200000000002,-0.9227350000000001,-1.03538,-1.24094,-0.8311360000000001
22,16290000,-0.9149010000000001,-0.8412360000000001,-0.970432,-1.25657,-0.9906020000000001
22,16300000,0.6867409999999999,-0.364051,0.55204,-0.21003000000000002,0.126107
22,16310000,-0.424997,-0.816611,0.13381600000000002,-0.8296629999999999,0.6672060000000001
22,16320000,0.651315,1.9117400000000002,0.813063,-0.0250854,0.8833030000000001
22,16330000,-1.7739200000000002,-1.64372,-1.67008,-2.16054,-1.8151599999999999
