CHROM,BIN_START,BIN_END,GIH_PI,GWD_PI,JPT_PI,PUR_PI,TSI_PI
22,16050001,16060000,0.000628809,0.000607402,0.000555876,0.000624889,0.000601852
22,16060001,16070000,0.000966777,0.00086927,0.000868952,0.000942396,0.000920583
22,16070001,16080000,0.000249576,0.000239961,0.000193975,0.000250242,0.000263889
22,16080001,16090000,5.05991e-05,6.89912e-05,4.55779e-05,5.97222e-05,5.84441e-05
22,16090001,16100000,6.33531e-05,2.50895e-05,8.17261e-05,4.051e-05,4.60884e-05
22,16100001,16110000,0.000107379,0.000142659,0.000109132,0.000105746,0.000101106
22,16110001,16120000,9.39806e-05,8.53845e-05,9.8783e-05,8.06299e-05,8.16199e-05
22,16120001,16130000,0.000139067,0.000159976,0.000163945,0.000131257,0.000146611
22,16130001,16140000,0.000119204,9.32507e-05,0.000120341,7.58593e-05,8.60208e-05
22,16140001,16150000,0.000155435,0.000216511,0.000152471,0.000147886,0.000167825
22,16150001,16160000,0.000483846,0.000576039,0.000509183,0.000364525,0.000372511
22,16160001,16170000,0.00017982,0.000226533,0.00017035,0.000201101,0.000224321
22,16170001,16180000,0.000103969,0.000122403,0.000100492,0.000112653,0.000121434
22,16180001,16190000,6.15345e-05,5.68574e-05,4.58519e-05,1.93748e-05,1.83318e-05
22,16190001,16200000,0.000135288,8.46765e-05,0.000150929,7.62449e-05,7.72235e-05
22,16200001,16210000,0.000259474,0.00019412,0.000259759,0.00022009,0.0002167
22,16210001,16220000,0.00053569,0.000544775,0.000564316,0.000501273,0.00047574
22,16220001,16230000,0.000252295,0.000278466,0.000234485,0.000252411,0.000273941
22,16230001,16240000,0.000175065,0.000222065,0.000127299,0.000161734,0.000162656
22,16240001,16250000,0.000442505,0.000535776,0.000416509,0.000462704,0.000423325
22,16250001,16260000,0.000510547,0.000530875,0.000396781,0.000518135,0.000483551
22,16260001,16270000,0.000242581,0.00028728,0.000117475,0.000286134,0.000265008
22,16270001,16280000,0.000315913,0.00031856,0.000306415,0.000322673,0.000314089
22,16280001,16290000,0.000470907,0.000461794,0.000432957,0.000425613,0.000410974
22,16290001,16300000,0.000145247,0.000185042,0.000108449,0.000120151,0.00010179
22,16300001,16310000,0.00024959,0.000213719,0.000266328,0.000232223,0.000238875
22,16310001,16320000,0.000143789,0.000179811,0.00015576,0.00014699,0.000137418
22,16320001,16330000,0.000142505,0.000164971,0.000145852,0.000140761,0.000154258
22,16330001,16340000,3.8835e-06,1.49656e-05,2.33603e-05,4.7984e-06,5.5987e-06
22,16340001,16350000,0.000303481,0.000486757,0.000173216,0.000317902,0.000302312
22,16350001,16360000,0.000173057,0.000206199,0.000188057,0.00016485,0.000142381
22,16360001,16370000,0.000363822,0.000462415,0.000435359,0.000433728,0.000381225
22,16370001,16380000,9.96543e-05,0.000145255,0.000145132,0.0001053,9.27603e-05
22,16380001,16390000,0.000107814,0.000136582,9.12068e-05,0.000104631,9.86179e-05
22,16390001,16400000,0.000206659,0.000215394,0.000170239,0.000203396,0.000195358
22,16400001,16410000,0.000448051,0.000641573,0.000469807,0.000417614,0.000404475
22,16410001,16420000,0.000411352,0.000477011,0.000372891,0.000390361,0.000373209
22,16420001,16430000,0.000201317,0.000321809,0.000175776,0.000207065,0.000195542
22,16430001,16440000,0.000224779,0.000263795,0.000232632,0.000149391,0.00011383
22,16440001,16450000,0.000310751,0.000376704,0.000340905,0.000240496,0.000216704
22,16450001,16460000,0.000118186,0.000154627,8.13313e-05,0.000104608,9.69374e-05
22,16460001,16470000,0.000376761,0.000366899,0.000356917,0.00033756,0.000303817
22,16470001,16480000,0.000413597,0.000453152,0.000364711,0.000423397,0.000424009
22,16480001,16490000,0.000549391,0.000394285,0.000568232,0.000555672,0.00050634
22,16490001,16500000,0.000389605,0.000461711,0.000333134,0.000367902,0.000345088
22,16500001,16510000,0.000466105,0.000438183,0.000518813,0.000341787,0.000311711
22,16510001,16520000,0.000665598,0.000460004,0.00069581,0.000510702,0.000464745
22,16520001,16530000,0.000604987,0.000475127,0.000559239,0.000522055,0.000494862
22,16530001,16540000,0.000417457,0.000648476,0.000405839,0.000395982,0.00034282
22,16540001,16550000,0.000538584,0.000606973,0.000579928,0.000558217,0.000484393
22,16550001,16560000,0.000537447,0.000552035,0.000499266,0.000459764,0.000433526
